,Title,Class,,,Class,,Count,Percentage
0,Kamikaze,1,,,0,,121,57%
1,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",0,,,1,,90,43%
2,Back In Time,0,,,,,,
3,You Make My Dreams (Come True),0,,,,,,
4,The Less I Know The Better,0,,,,,,
5,Sucker,1,,,,,,
6,Sunflower - Spider-Man: Into the Spider-Verse,0,,,,,,
7,Stronger,1,,,,,,
8,Superstition,0,,,,,,
9,Knock Me Out,1,,,,,,
10,Rocket Man,0,,,,,,
11,Blown,0,,,,,,
12,Toothbrush,0,,,,,,
13,The Thrill,1,,,,,,
14,Please Mr. Postman - Stereo Version,0,,,,,,
15,Painkiller,0,,,,,,
16,Not Thinkin' Bout You,1,,,,,,
17,Younger,1,,,,,,
18,Personal,0,,,,,,
19,Youngblood,1,,,,,,
20,Feel It Still,1,,,,,,
21,Hooked On A Feeling,0,,,,,,
22,Marvin Gaye (feat. Meghan Trainor),1,,,,,,
23,Burn the House Down,0,,,,,,
24,Close,1,,,,,,
25,Enemy Fire,1,,,,,,
26,Follow God,0,,,,,,
27,On God,1,,,,,,
28,Take Me to Church,1,,,,,,
29,Fly Me To The Moon (In Other Words),0,,,,,,
30,That's Life,1,,,,,,
31,Sweet but Psycho,0,,,,,,
32,Voilà,0,,,,,,
33,Love Me Less (feat. Quinn XCII),1,,,,,,
34,ROXANNE,1,,,,,,
35,Trampoline,1,,,,,,
36,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),1,,,,,,
37,Wow.,1,,,,,,
38,Young Dumb & Broke,0,,,,,,
39,Eastside (with Halsey & Khalid),1,,,,,,
40,Run for Me - Edit,1,,,,,,
41,3 Nights,1,,,,,,
42,Sunday Best,0,,,,,,
43,Circles,0,,,,,,
44,Unbelievable,0,,,,,,
45,Easier,0,,,,,,
46,Who Do You Love,0,,,,,,
47,Close To Me (with Diplo) (feat. Swae Lee),1,,,,,,
48,Talk (feat. Disclosure),0,,,,,,
49,Lalala,0,,,,,,
50,Bang!,1,,,,,,
51,Is It True,0,,,,,,
52,Goodbyes (feat. Young Thug),0,,,,,,
53,bury a friend,0,,,,,,
54,ocean eyes,1,,,,,,
55,SLOW DANCING IN THE DARK,0,,,,,,
56,Natalina,1,,,,,,
57,Kickback,0,,,,,,
58,Panini - DaBaby Remix,1,,,,,,
59,Say So,1,,,,,,
60,Icon,1,,,,,,
61,Lost In Japan,0,,,,,,
62,Baby I'm Yours,1,,,,,,
63,Treasure,1,,,,,,
64,Be Kind (with Halsey),0,,,,,,
65,Break My Heart,1,,,,,,
66,Blinding Lights,0,,,,,,
67,On My Own,1,,,,,,
68,All I Need (with Mahalia & Ty Dolla $ign),1,,,,,,
69,Up All Night,0,,,,,,
70,Nice To Meet Ya,1,,,,,,
71,Adore You,0,,,,,,
72,Lonely,0,,,,,,
73,Magic In The Hamptons (feat. Lil Yachty),0,,,,,,
74,Don't Start Now,1,,,,,,
75,Stunnin' (feat. Harm Franklin),1,,,,,,
76,Lights Up,1,,,,,,
77,Know Your Worth,1,,,,,,
78,Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album,1,,,,,,
79,death bed (coffee for your head),1,,,,,,
80,Treehouse (feat. Shotty Horroh),0,,,,,,
81,I Love You's,0,,,,,,
82,Tattoos Together,0,,,,,,
83,Crush,0,,,,,,
84,Take Over,1,,,,,,
85,POP/STARS,0,,,,,,
86,THE BADDEST,1,,,,,,
87,MORE,1,,,,,,
88,DRUM GO DUM,1,,,,,,
89,VILLAIN,1,,,,,,
90,I'LL SHOW YOU,0,,,,,,
91,Heybb!,1,,,,,,
92,Voices,1,,,,,,
93,Who Are You,1,,,,,,
94,Muchacha,1,,,,,,
95,BALI,1,,,,,,
96,"Let Me Move You - From the Netflix film ""Work It""",1,,,,,,
97,Electric Love,1,,,,,,
98,Here Comes The Sun (feat. dodie),0,,,,,,
99,Moonlight,1,,,,,,
100,History,1,,,,,,
101,Let's Fall in Love for the Night,0,,,,,,
102,Love In My Pocket,1,,,,,,
103,Sanctuary,0,,,,,,
104,SAD!,0,,,,,,
105,changes,0,,,,,,
106,Drive Safe,0,,,,,,
107,Midsummer Madness,0,,,,,,
108,"Baby, It's Cold Outside",0,,,,,,
109,Run It,0,,,,,,
110,I'm Back Now,0,,,,,,
111,here we go again,0,,,,,,
112,Legend Is Born,1,,,,,,
113,Fun Tonight,1,,,,,,
114,Elephant,1,,,,,,
115,Childhood Dreams,1,,,,,,
116,Backyard Boy,0,,,,,,
117,Blueberry Eyes (feat. SUGA of BTS),1,,,,,,
118,Kiss Me More (feat. SZA),0,,,,,,
119,Levitating (feat. DaBaby),1,,,,,,
120,Sue Me,0,,,,,,
121,Maniac,0,,,,,,
122,good 4 u,1,,,,,,
123,"jealousy, jealousy",1,,,,,,
124,California (feat. Warren Hue),1,,,,,,
125,Leave Before You Love Me (with Jonas Brothers),0,,,,,,
126,Save Your Tears (with Ariana Grande) (Remix),0,,,,,,
127,MONTERO (Call Me By Your Name),1,,,,,,
128,Butter,0,,,,,,
129,Levels,1,,,,,,
130,Attention,1,,,,,,
131,Good Day (feat. MisterWives and Curtis Roach),0,,,,,,
132,positions,0,,,,,,
133,Death of a Bachelor,0,,,,,,
134,Stuck with U (with Justin Bieber),0,,,,,,
135,INDUSTRY BABY (feat. Jack Harlow),1,,,,,,
136,End Game,0,,,,,,
137,Dirty Little Animals (From the series Arcane League of Legends),1,,,,,,
138,Enemy (with JID) - from the series Arcane League of Legends,1,,,,,,
139,Dynasties & Dystopia (from the series Arcane League of Legends),0,,,,,,
140,Snakes (from the series Arcane League of Legends),1,,,,,,
141,Guns for Hire (From the series Arcane League of Legends),1,,,,,,
142,Wildfire,1,,,,,,
143,Can I Call You Tonight?,0,,,,,,
144,happier,0,,,,,,
145,Wildest Dreams (Taylor's Version),0,,,,,,
146,STAY (with Justin Bieber),0,,,,,,
147,Close To You,0,,,,,,
148,Fantasy,0,,,,,,
149,THATS WHAT I WANT,1,,,,,,
150,100 Miles and Running,0,,,,,,
151,Checklist (feat. Chromeo),1,,,,,,
152,Wish You Were Sober,0,,,,,,
153,Indigo,0,,,,,,
154,Paper Rings,0,,,,,,
155,Heather,0,,,,,,
156,Mariposa,0,,,,,,
157,The Weekend,0,,,,,,
158,Hot Rod,0,,,,,,
159,lowkey,0,,,,,,
160,Style,0,,,,,,
161,Entertain Me,0,,,,,,
162,Light Switch,0,,,,,,
163,I Don’t Wanna Live Forever (Fifty Shades Darker),0,,,,,,
164,Before,0,,,,,,
165,Every Summertime,0,,,,,,
166,Frankenstein,0,,,,,,
167,Phases,1,,,,,,
168,Thief,1,,,,,,
169,Split,0,,,,,,
170,Love On The Brain,1,,,,,,
171,Listerine,0,,,,,,
172,this is what falling in love feels like,0,,,,,,
173,Don't Go Changing,0,,,,,,
174,Medicine,0,,,,,,
175,My Ordinary Life,1,,,,,,
176,False Alarm,1,,,,,,
177,edamame (feat. Rich Brian),1,,,,,,
178,GET IT,1,,,,,,
179,2 soon,1,,,,,,
180,Like You Do,0,,,,,,
181,drunk,0,,,,,,
182,Head on Fire,0,,,,,,
183,Maniac,1,,,,,,
184,Selene,1,,,,,,
185,Vibin,0,,,,,,
186,Car Crash,0,,,,,,
187,La La Lost You,0,,,,,,
188,Newsflash!,1,,,,,,
189,Plot Twist,0,,,,,,
190,Backburner,0,,,,,,
191,B.Y.S.,0,,,,,,
192,urs,0,,,,,,
193,liar,0,,,,,,
194,SOMEBODY,0,,,,,,
195,sometimes i hate you,0,,,,,,
196,Vintage,0,,,,,,
197,As It Was,1,,,,,,
198,I Feel Good,0,,,,,,
199,Keeping Tabs,0,,,,,,
200,Disaster,0,,,,,,
201,Take A Chance With Me,0,,,,,,
202,rocket science,0,,,,,,
203,Facebook Friends,0,,,,,,
204,IT'S YOU (feat. keshi),0,,,,,,
205,High School in Jakarta,1,,,,,,
206,Overdrive,0,,,,,,
207,I Won't,0,,,,,,
208,Then It All Goes Away,0,,,,,,
209,yup!,0,,,,,,
210,Look At Me!,0,,,,,,
